student_id,gender,second_perc,high_perc,high_spec,degree_perc,degree_type,work_experience,experience_years,employability_perc,mba_spec,mba_perc,salary,placed,start_date,end_date,duration
17264,M,67.0,91.0,Commerce,58.0,Sci&Tech,False,0,55.0,Mkt&HR,58.8,27000.0,True,2020-07-23,2020-10-12,3.0
17265,M,79.33,78.33,Science,77.48,Sci&Tech,True,1,86.5,Mkt&Fin,66.28,20000.0,True,2020-01-11,2020-04-09,3.0
17266,M,65.0,68.0,Arts,64.0,Comm&Mgmt,False,0,75.0,Mkt&Fin,57.8,25000.0,True,2020-01-26,2020-07-13,6.0
17267,M,56.0,52.0,Science,52.0,Sci&Tech,False,0,66.0,Mkt&HR,59.43,,False,,,
17268,M,85.8,73.6,Commerce,73.3,Comm&Mgmt,False,0,96.8,Mkt&Fin,55.5,42500.0,True,2020-07-04,2020-09-27,3.0
17269,M,55.0,49.8,Science,67.25,Sci&Tech,True,1,55.0,Mkt&Fin,51.58,,False,,,
17270,F,46.0,49.2,Commerce,79.0,Comm&Mgmt,False,0,74.28,Mkt&Fin,53.29,,False,,,
17271,M,82.0,64.0,Science,66.0,Sci&Tech,True,1,67.0,Mkt&Fin,62.14,25200.0,True,2020-01-26,2020-05-01,3.0
17272,M,73.0,79.0,Commerce,72.0,Comm&Mgmt,False,0,91.34,Mkt&Fin,61.29,23100.0,True,2020-01-26,2020-08-07,6.0
17273,M,58.0,70.0,Commerce,61.0,Comm&Mgmt,False,0,54.0,Mkt&Fin,52.21,,False,,,
17274,M,58.0,61.0,Commerce,60.0,Comm&Mgmt,True,1,62.0,Mkt&HR,60.85,26000.0,True,2020-07-06,2020-10-17,3.0
17275,M,69.6,68.4,Commerce,78.3,Comm&Mgmt,True,1,60.0,Mkt&Fin,63.7,25000.0,True,2020-07-03,2020-10-03,3.0
17276,F,47.0,55.0,Science,65.0,Comm&Mgmt,False,0,62.0,Mkt&HR,65.04,,False,,,
17277,F,77.0,87.0,Commerce,59.0,Comm&Mgmt,False,0,68.0,Mkt&Fin,68.63,21800.0,True,2020-01-27,2020-05-06,3.0
17278,M,62.0,47.0,Commerce,50.0,Comm&Mgmt,False,0,76.0,Mkt&HR,54.96,,False,,,
17279,F,65.0,75.0,Commerce,69.0,Comm&Mgmt,True,1,72.0,Mkt&Fin,64.66,20000.0,True,2020-07-25,2020-11-05,3.0
17280,M,63.0,66.2,Commerce,65.6,Comm&Mgmt,True,1,60.0,Mkt&Fin,62.54,30000.0,True,2020-01-29,2020-08-09,6.0
17281,F,55.0,67.0,Commerce,64.0,Comm&Mgmt,False,0,60.0,Mkt&Fin,67.28,,False,,,
17282,F,63.0,66.0,Commerce,64.0,Comm&Mgmt,False,0,68.0,Mkt&HR,64.08,,False,,,
17283,M,60.0,67.0,Arts,70.0,Comm&Mgmt,True,1,50.48,Mkt&Fin,77.89,23600.0,True,2020-01-24,2021-01-08,12.0
17284,M,62.0,65.0,Commerce,66.0,Comm&Mgmt,False,0,50.0,Mkt&HR,56.7,26500.0,True,2020-01-24,2021-01-15,12.0
