date,store_id,region,day_of_week,total_sales,nb_customers
2020-06-01,68608,New York,0,736.19,43
2020-06-02,68608,New York,1,777.31,45
2020-06-03,68608,New York,2,921.22,54
2020-06-04,68608,New York,3,1085.69,63
2020-06-05,68608,New York,4,1476.3,86
2020-06-06,68608,New York,5,2463.12,144
2020-06-07,68608,New York,6,1579.1,92
2020-06-01,47226,California,0,2750.94,161
2020-06-02,47226,California,1,2853.73,167
2020-06-03,47226,California,2,2915.41,171
2020-06-04,47226,California,3,3120.99,183
2020-06-05,47226,California,4,3429.37,201
2020-06-06,47226,California,5,4560.1,268
2020-06-07,47226,California,6,3573.28,210
2020-06-01,54067,New York,0,695.08,40
2020-06-02,54067,New York,1,777.31,45
2020-06-03,54067,New York,2,880.1,51
2020-06-04,54067,New York,3,1188.48,69
2020-06-05,54067,New York,4,1373.51,80
2020-06-06,54067,New York,5,2483.68,146
2020-06-07,54067,New York,6,1496.86,88
2020-06-01,84135,California,0,2792.05,164
2020-06-02,84135,California,1,2935.97,172
2020-06-03,84135,California,2,3018.2,177
2020-06-04,84135,California,3,3285.46,193
2020-06-05,84135,California,4,3470.49,204
2020-06-06,84135,California,5,4498.42,264
2020-06-07,84135,California,6,3511.61,206
2020-06-01,45279,New York,0,756.75,44
2020-06-02,45279,New York,1,838.99,49
2020-06-03,45279,New York,2,880.1,51
2020-06-04,45279,New York,3,1126.81,66
2020-06-05,45279,New York,4,1455.74,85
2020-06-06,45279,New York,5,2565.91,150
2020-06-07,45279,New York,6,1435.19,84
2020-06-01,72360,California,0,2812.61,165
2020-06-02,72360,California,1,3018.2,177
2020-06-03,72360,California,2,2977.08,175
2020-06-04,72360,California,3,3203.23,188
2020-06-05,72360,California,4,3491.05,205
2020-06-06,72360,California,5,4621.77,271
2020-06-07,72360,California,6,3614.4,212
2020-06-01,82532,New York,0,818.43,48
2020-06-02,82532,New York,1,838.99,49
2020-06-03,82532,New York,2,1003.45,59
2020-06-04,82532,New York,3,1085.69,63
2020-06-05,82532,New York,4,1373.51,80
2020-06-06,82532,New York,5,2586.47,152
2020-06-07,82532,New York,6,1373.51,80
2020-06-01,58349,California,0,2771.5,163
2020-06-02,58349,California,1,2956.52,173
2020-06-03,58349,California,2,2956.52,173
2020-06-04,58349,California,3,3223.79,189
2020-06-05,58349,California,4,3470.49,204
2020-06-06,58349,California,5,4642.33,273
2020-06-07,58349,California,6,3634.96,213
2020-06-01,58993,New York,0,736.19,43
2020-06-02,58993,New York,1,756.75,44
2020-06-03,58993,New York,2,1044.57,61
2020-06-04,58993,New York,3,1106.25,65
2020-06-05,58993,New York,4,1579.1,92
2020-06-06,58993,New York,5,2463.12,144
2020-06-07,58993,New York,6,1537.98,90
2020-06-01,72731,California,0,2915.41,171
2020-06-02,72731,California,1,2977.08,175
2020-06-03,72731,California,2,2935.97,172
2020-06-04,72731,California,3,3244.34,190
2020-06-05,72731,California,4,3491.05,205
2020-06-06,72731,California,5,4518.98,265
2020-06-07,72731,California,6,3593.84,211
2020-06-01,48729,New York,0,695.08,40
2020-06-02,48729,New York,1,900.66,52
2020-06-03,48729,New York,2,1065.13,62
2020-06-04,48729,New York,3,1126.81,66
2020-06-05,48729,New York,4,1373.51,80
2020-06-06,48729,New York,5,2586.47,152
2020-06-07,48729,New York,6,1517.42,89
2020-06-01,68360,California,0,2935.97,172
2020-06-02,68360,California,1,2874.29,169
2020-06-03,68360,California,2,2956.52,173
2020-06-04,68360,California,3,3285.46,193
2020-06-05,68360,California,4,3634.96,213
2020-06-06,68360,California,5,4498.42,264
2020-06-07,68360,California,6,3449.93,202
2020-06-01,23951,New York,0,880.1,51
2020-06-02,23951,New York,1,859.54,50
2020-06-03,23951,New York,2,1044.57,61
2020-06-04,23951,New York,3,1147.36,67
2020-06-05,23951,New York,4,1537.98,90
2020-06-06,23951,New York,5,2483.68,146
2020-06-07,23951,New York,6,1517.42,89
2020-06-01,10149,California,0,2750.94,161
2020-06-02,10149,California,1,2833.17,166
2020-06-03,10149,California,2,3120.99,183
2020-06-04,10149,California,3,3141.55,184
2020-06-05,10149,California,4,3449.93,202
2020-06-06,10149,California,5,4560.1,268
2020-06-07,10149,California,6,3470.49,204
2020-06-01,54314,New York,0,736.19,43
2020-06-02,54314,New York,1,797.87,46
2020-06-03,54314,New York,2,1024.01,60
2020-06-04,54314,New York,3,1024.01,60
2020-06-05,54314,New York,4,1579.1,92
2020-06-06,54314,New York,5,2524.79,148
2020-06-07,54314,New York,6,1537.98,90
2020-06-01,17472,California,0,2750.94,161
2020-06-02,17472,California,1,2956.52,173
2020-06-03,17472,California,2,2977.08,175
2020-06-04,17472,California,3,3244.34,190
2020-06-05,17472,California,4,3634.96,213
2020-06-06,17472,California,5,4580.65,269
2020-06-07,17472,California,6,3470.49,204
2020-06-01,29428,New York,0,756.75,44
2020-06-02,29428,New York,1,880.1,51
2020-06-03,29428,New York,2,1003.45,59
2020-06-04,29428,New York,3,1188.48,69
2020-06-05,29428,New York,4,1435.19,84
2020-06-06,29428,New York,5,2422.0,142
2020-06-07,29428,New York,6,1373.51,80
2020-06-01,77246,California,0,2792.05,164
2020-06-02,77246,California,1,2956.52,173
