date,store_id,region,day_of_week,total_sales,nb_customers
2020-06-01,0,New York,0,762.349154676963,43
2020-06-02,0,New York,1,809.6736806101269,42
2020-06-03,0,New York,2,950.9151547370432,60
2020-06-04,0,New York,3,1137.2951649209044,62
2020-06-05,0,New York,4,1517.6813930632647,94
2020-06-06,0,New York,5,2436.0430352978938,136
2020-06-07,0,New York,8,2802.256488108827,110
2020-06-01,1,California,0,2761.474868516715,174
2020-06-02,1,California,1,2899.8139400194254,171
2020-06-03,1,California,2,3132.218674812266,176
2020-06-04,1,California,3,3251.213625795133,198
2020-06-05,1,California,3,3387.81323626669,185
2020-06-06,1,California,4,3514.4576873300293,198
2020-06-07,1,California,5,4702.404477281678,211
2020-06-01,2,New York,0,821.193469280862,47
2020-06-02,2,New York,1,787.5331583788532,49
2020-06-03,2,New York,2,1029.2728426340125,56
2020-06-04,2,New York,3,1095.7271859258626,71
2020-06-05,2,New York,3,1986.6383924423255,87
2020-06-06,2,New York,5,1762.4727180698267,71
2020-06-07,2,New York,6,2838.1730493604896,184
2020-06-01,3,New York,0,839.0002278782508,48
2020-06-02,3,New York,1,816.915216651299,46
2020-06-03,3,New York,2,954.0106603398508,53
2020-06-04,3,New York,2,1221.7149194920933,66
2020-06-05,3,New York,4,1771.2590779398126,76
2020-06-06,3,New York,5,1895.3343318797615,150
2020-06-07,3,New York,5,3316.8631989992027,123
2020-06-01,4,New York,0,745.2842629941156,39
2020-06-02,4,New York,1,794.2656110889336,42
2020-06-03,4,New York,2,1094.5059438307835,52
2020-06-04,4,New York,2,1203.7066894229888,72
2020-06-05,4,New York,4,1755.5930496183855,88
2020-06-06,4,New York,5,2084.2423069240667,87
2020-06-07,4,New York,6,2306.2063266472987,107
2020-06-01,5,New York,0,778.6822216370056,49
2020-06-02,5,New York,1,785.6492711040437,42
2020-06-03,5,New York,2,926.4537704155327,55
2020-06-04,5,New York,2,1041.369499430061,65
2020-06-05,5,New York,3,1436.031888662526,88
2020-06-06,5,New York,6,3319.8529826390054,123
2020-06-07,5,New York,6,2157.606131424076,213
2020-06-01,6,California,0,2794.265658115475,172
2020-06-02,6,California,1,2950.116429095869,174
2020-06-03,6,California,2,2969.277628303732,177
2020-06-04,6,California,3,3255.5833739494074,189
2020-06-05,6,California,4,3325.919024347454,201
2020-06-06,6,California,4,4317.782117925093,207
2020-06-07,6,California,5,1243.7018101372853,268
2020-06-01,7,New York,0,828.3906523085307,42
2020-06-02,7,New York,1,896.5311074879332,49
2020-06-03,7,New York,2,1004.5433875830886,61
2020-06-04,7,New York,3,1118.6222672862336,67
2020-06-05,7,New York,4,1695.0836140971612,93
2020-06-06,7,New York,5,1597.9342657007473,106
2020-06-07,7,New York,5,1699.29429114483,151
2020-06-01,8,California,0,2872.9818662049292,164
2020-06-02,8,California,1,2936.2580650244727,169
2020-06-03,8,California,2,2946.4557015206647,175
2020-06-04,8,California,2,2987.4116647193146,189
2020-06-05,8,California,4,3962.56566704633,189
2020-06-06,8,California,4,3949.0258636128,245
2020-06-07,8,California,4,3042.450197867369,302
2020-06-01,9,New York,0,818.4684089732268,36
2020-06-02,9,New York,1,808.6638824410575,47
2020-06-03,9,New York,1,1087.5970553908865,58
2020-06-04,9,New York,2,1186.1176511214449,60
2020-06-05,9,New York,4,1443.1439222727613,90
2020-06-06,9,New York,5,2503.235584288548,118
2020-06-07,9,New York,6,2093.96640875054,162
2020-06-01,10,California,0,2716.4480867115612,163
2020-06-02,10,California,0,2922.4085924770097,173
2020-06-03,10,California,2,3012.4472671433196,172
2020-06-04,10,California,3,3225.038722771122,199
2020-06-05,10,California,4,3468.9125819826368,197
2020-06-06,10,California,5,4913.408778452998,199
2020-06-07,10,California,6,4100.256250070161,239
2020-06-01,11,California,0,2846.9068271987435,166
2020-06-02,11,California,1,2976.803762848217,167
2020-06-03,11,California,1,2970.1438370784567,184
2020-06-04,11,California,2,3199.0396278399444,204
2020-06-05,11,California,4,3223.2992617399686,206
2020-06-06,11,California,4,3855.5361269925093,251
2020-06-07,11,California,5,4794.099730028592,115
2020-06-01,12,New York,0,704.8016775559381,42
2020-06-02,12,New York,1,827.5518503487538,48
2020-06-03,12,New York,2,1036.768780865845,56
2020-06-04,12,New York,3,1095.6690248987213,57
2020-06-05,12,New York,4,1593.4427559716669,74
2020-06-06,12,New York,5,889.0659932057365,144
2020-06-07,12,New York,6,1703.165765271618,128
2020-06-01,13,New York,0,788.205008901009,46
2020-06-02,13,New York,1,893.3018454701894,54
2020-06-03,13,New York,2,952.9569275819338,52
2020-06-04,13,New York,2,1177.2761289343503,61
2020-06-05,13,New York,4,1540.7115558499818,68
2020-06-06,13,New York,5,2312.6608320626556,116
2020-06-07,13,New York,6,1118.9589596591802,173
2020-06-01,14,California,0,2758.355826527025,166
2020-06-02,14,California,0,2947.8056091973685,170
2020-06-03,14,California,1,2979.5414456329654,176
2020-06-04,14,California,2,3016.31588203496,189
2020-06-05,14,California,4,3255.298775446094,218
2020-06-06,14,California,5,5025.956642340967,175
2020-06-07,14,California,5,4033.7740118012644,282
2020-06-01,15,New York,0,749.0973668814347,36
2020-06-02,15,New York,0,754.5279610127727,53
2020-06-03,15,New York,2,957.177856033667,57
2020-06-04,15,New York,2,1063.8733537373605,68
2020-06-05,15,New York,4,1595.787119580065,106
2020-06-06,15,New York,5,2815.3442534393243,141
2020-06-07,15,New York,4,2329.948953299315,175
2020-06-01,16,California,0,2890.2906297246027,161
2020-06-02,16,California,1,2908.6912026458604,178
2020-06-03,16,California,2,2990.3703454597107,182
2020-06-04,16,California,3,3532.7421474093326,173
2020-06-05,16,California,4,3074.4664485597223,214
2020-06-06,16,California,4,4254.616174002325,172
2020-06-07,16,California,4,2825.2547460155474,345
2020-06-01,17,California,0,2778.0820036262357,164
2020-06-02,17,California,1,2910.854144297295,170
2020-06-03,17,California,2,2881.900204185065,175
2020-06-04,17,California,3,3137.39744703832,185
2020-06-05,17,California,4,4132.658497507389,227
2020-06-06,17,California,4,2871.7663425801447,227
2020-06-07,17,California,5,2690.608202361874,219
2020-06-01,18,California,0,2781.1397464038673,167
2020-06-02,18,California,1,2880.8012466956116,173
2020-06-03,18,California,1,2958.1167085126954,171
2020-06-04,18,California,2,3290.5877345829404,176
2020-06-05,18,California,3,3392.0939994441874,221
2020-06-06,18,California,4,3476.269045329239,239
2020-06-07,18,California,6,3767.505995279684,216
2020-06-01,19,California,0,2859.043373811968,164
2020-06-02,19,California,1,2922.2395837848317,169
2020-06-03,19,California,2,3012.6962995508984,184
2020-06-04,19,California,3,3048.081077933898,173
2020-06-05,19,California,4,3181.122195921125,221
2020-06-06,19,California,4,4357.445985786968,278
2020-06-07,19,California,4,3618.451556506806,188
2020-06-01,20,New York,0,746.4868154545738,43
2020-06-02,20,New York,1,803.2231066430975,47
2020-06-03,20,New York,1,1067.1452950699847,53
2020-06-04,20,New York,3,1218.206777441331,69
2020-06-05,20,New York,4,1266.6153021825069,99
2020-06-06,20,New York,4,2104.438897942439,157
